x: -0.000, y: -0.000, h: -0.000, tx: 0.000, ty: -0.000, time: 0.000001
x: -0.000, y: -0.000, h: -0.000, tx: 0.000, ty: -0.002, time: 0.021772
x: -0.000, y: -0.000, h: -0.000, tx: 0.000, ty: -0.004, time: 0.042928
x: -0.000, y: -0.000, h: -0.000, tx: 0.000, ty: -0.006, time: 0.063732
x: -0.000, y: -0.000, h: -0.000, tx: 0.000, ty: -0.008, time: 0.084544
x: -0.000, y: -0.000, h: -0.000, tx: 0.000, ty: -0.010, time: 0.105352
x: -0.000, y: -0.000, h: -0.000, tx: 0.000, ty: -0.012, time: 0.125861
x: -0.000, y: -0.000, h: -0.000, tx: 0.000, ty: -0.014, time: 0.146340
x: 0.000, y: 0.000, h: 0.001, tx: 0.000, ty: -0.016, time: 0.166470
x: 0.000, y: 0.000, h: 0.001, tx: 0.000, ty: -0.018, time: 0.187644
x: 0.000, y: 0.000, h: 0.001, tx: 0.000, ty: -0.020, time: 0.208777
x: 0.000, y: 0.000, h: 0.001, tx: 0.000, ty: -0.022, time: 0.229269
x: 0.000, y: 0.000, h: 0.000, tx: 0.000, ty: -0.024, time: 0.249395
x: -0.000, y: -0.000, h: -0.001, tx: 0.000, ty: -0.026, time: 0.269898
x: -0.000, y: -0.000, h: -0.001, tx: 0.000, ty: -0.028, time: 0.291027
x: -0.000, y: -0.000, h: -0.001, tx: 0.000, ty: -0.030, time: 0.311831
x: -0.000, y: -0.001, h: -0.000, tx: 0.000, ty: -0.032, time: 0.332317
x: -0.000, y: -0.001, h: -0.001, tx: 0.000, ty: -0.034, time: 0.352477
x: -0.000, y: -0.002, h: -0.001, tx: 0.000, ty: -0.036, time: 0.372614
x: -0.000, y: -0.002, h: -0.001, tx: 0.000, ty: -0.038, time: 0.393085
x: -0.000, y: -0.003, h: -0.001, tx: 0.000, ty: -0.040, time: 0.413217
x: -0.000, y: -0.004, h: -0.001, tx: 0.000, ty: -0.042, time: 0.433348
x: -0.000, y: -0.004, h: -0.002, tx: 0.000, ty: -0.044, time: 0.453856
x: -0.001, y: -0.005, h: -0.001, tx: 0.000, ty: -0.046, time: 0.473993
x: -0.001, y: -0.006, h: 0.002, tx: 0.000, ty: -0.048, time: 0.494914
x: -0.001, y: -0.007, h: 0.005, tx: 0.000, ty: -0.050, time: 0.515756
x: -0.001, y: -0.008, h: 0.007, tx: 0.000, ty: -0.052, time: 0.536263
x: -0.001, y: -0.010, h: 0.007, tx: 0.000, ty: -0.054, time: 0.556753
x: -0.001, y: -0.012, h: 0.002, tx: 0.000, ty: -0.055, time: 0.577080
x: -0.001, y: -0.013, h: -0.008, tx: 0.000, ty: -0.058, time: 0.598186
x: -0.000, y: -0.015, h: -0.010, tx: 0.000, ty: -0.060, time: 0.619863
x: -0.000, y: -0.017, h: -0.011, tx: 0.000, ty: -0.062, time: 0.640929
x: -0.000, y: -0.018, h: -0.011, tx: 0.000, ty: -0.064, time: 0.661370
x: -0.000, y: -0.020, h: -0.010, tx: 0.000, ty: -0.066, time: 0.681685
x: -0.000, y: -0.021, h: -0.009, tx: 0.000, ty: -0.068, time: 0.702326
x: -0.001, y: -0.022, h: -0.009, tx: 0.000, ty: -0.070, time: 0.722981
x: -0.001, y: -0.023, h: -0.009, tx: 0.000, ty: -0.071, time: 0.743449
x: -0.002, y: -0.024, h: -0.010, tx: 0.000, ty: -0.073, time: 0.763590
x: -0.001, y: -0.024, h: -0.005, tx: 0.000, ty: -0.075, time: 0.784403
x: -0.001, y: -0.024, h: 0.003, tx: 0.000, ty: -0.077, time: 0.805052
x: -0.001, y: -0.025, h: 0.004, tx: 0.000, ty: -0.079, time: 0.826421
x: -0.001, y: -0.025, h: 0.002, tx: 0.000, ty: -0.081, time: 0.847396
x: -0.001, y: -0.025, h: 0.002, tx: 0.000, ty: -0.084, time: 0.868535
x: -0.001, y: -0.025, h: 0.000, tx: 0.000, ty: -0.085, time: 0.889173
x: -0.001, y: -0.025, h: -0.003, tx: 0.000, ty: -0.088, time: 0.910334
x: -0.001, y: -0.026, h: -0.006, tx: 0.000, ty: -0.090, time: 0.931463
x: -0.002, y: -0.025, h: -0.007, tx: 0.000, ty: -0.092, time: 0.952609
x: -0.001, y: -0.025, h: -0.004, tx: 0.000, ty: -0.094, time: 0.973554
x: -0.001, y: -0.025, h: -0.000, tx: 0.000, ty: -0.096, time: 0.994396
x: -0.001, y: -0.025, h: 0.003, tx: 0.000, ty: -0.098, time: 1.014999
x: -0.001, y: -0.025, h: 0.004, tx: 0.000, ty: -0.100, time: 1.036235
x: -0.001, y: -0.025, h: 0.002, tx: 0.000, ty: -0.102, time: 1.057166
x: -0.002, y: -0.025, h: -0.001, tx: 0.000, ty: -0.104, time: 1.078133
x: -0.002, y: -0.024, h: 0.000, tx: 0.000, ty: -0.106, time: 1.099269
x: -0.002, y: -0.024, h: 0.004, tx: 0.000, ty: -0.108, time: 1.120572
x: -0.002, y: -0.024, h: 0.004, tx: 0.000, ty: -0.110, time: 1.141543
x: -0.002, y: -0.024, h: 0.002, tx: 0.000, ty: -0.112, time: 1.162680
x: -0.002, y: -0.024, h: -0.001, tx: 0.000, ty: -0.114, time: 1.182823
x: -0.002, y: -0.024, h: -0.001, tx: 0.000, ty: -0.116, time: 1.203974
